incubation,time,average_excess_13CO2_umol,std_excess_13CO2_umol,average_Net_excess_13C_umol,std_Net_excess_13C_umol,perct_degradation,sd_perct_deg
PE,24,0.5891478902343261,0.011703494940453198,0.12807053179009728,0.011703494940453198,31.40138084837496,2.869558646672354
PE,72,0.6329391137471302,0.024641914674632795,0.1732285448535734,0.024641914674632795,42.4735919709632,6.04190625833831
PE,96,0.609386731048386,0.017249419061736482,0.15035955693016523,0.017249419061736482,36.86638639945206,4.229353699089489
PE,192,0.5069581324429382,0.018204568251744394,0.05066453742606153,0.018204568251744394,12.422345819801773,4.463544992459089
PE,216,0.6419120509620156,0.03834340602429845,0.18630185072047503,0.03834340602429845,45.67901206827879,9.401350012087397
PE,240,0.631136516720529,0.012798787305919877,0.17620971125432439,0.012798787305919877,43.20453874079303,3.138111390442534
PE,264,0.6314235611250691,0.04996867349701008,0.17718015043420063,0.04996867349701008,43.442478958980175,12.251728208167238
PE,336,0.6876737761226851,0.021612764650274893,0.23548054975782462,0.021612764650274893,57.73704787491103,5.299194471073898
PE,360,0.6776853743894278,0.013155788448135535,0.22617554279990343,0.013155788448135535,55.45557013605576,3.225643851449193
PE,384,0.700700411102687,0.014144351856479703,0.2498739742884987,0.014144351856479703,61.26614546732836,3.4680279162632592
PE,408,0.6789593581803401,0.05816557437652803,0.22881631614148784,0.05816557437652803,56.10305655056709,14.261511432273638
PE,432,0.5901101908078455,0.020802031561615576,0.14065054354432924,0.020802031561615576,34.485851059048485,5.100412299035326
PE,504,0.688876245158051,0.025343329355720836,0.24146678222054288,0.025343329355720836,59.204801329053055,6.213884848773038
PE,552,0.6686987203947633,0.02031690380170329,0.22265604700792715,0.02031690380170329,54.59263136151211,4.981464705578838
PE,600,0.706619391197556,0.023110563808809385,0.261943507361392,0.023110563808809385,64.22545233821062,5.666437123650701
PE,696,0.6612643113096287,0.0091100441453217,0.2193220065748088,0.0091100441453217,53.77516404923595,2.233675161290107
